,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10449,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19479418.0,19479418.0,False,,1,,,,2023-09-08T07:56:00.000Z,26247.840520291975,12396372172.658394,2.7067,0.13732964,1.91881949,1.0359032,-11.93075397,-12.79607814,2.21346767,511292657092.10486,48.551,551204650926.13,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
1,1027,Ethereum,ETH,ethereum,7352,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120218942.80830637,120218942.80830637,True,,2,,,,2023-09-08T07:56:00.000Z,1645.9718139346394,5173024947.262018,-2.448,0.11312778,0.66760082,0.02049582,-11.56227244,-11.27156696,-5.21047298,197876991363.4927,18.7881,197876991363.49,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
2,825,Tether USDt,USDT,tether,61770,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,82912941531.77739,85437198727.24951,True,,3,,,,2023-09-08T07:56:00.000Z,0.9995425942236748,19658783760.033825,1.6955,0.00243438,-0.0027751,0.00342435,-0.0006117,-0.06584224,-0.11380314,82875016673.38864,7.8697,85398119259.04,,2023-09-08T07:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-08 07:57:44.385532
3,1839,BNB,BNB,bnb,1614,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153849524.03586665,153849524.03586665,False,,4,,,,2023-09-08T07:56:00.000Z,216.83690493899007,469558393.90414417,27.5235,0.00441369,0.71537572,1.28736489,-11.41335996,-6.8143994,-8.01322859,33360254618.274086,3.1675,33360254618.27,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
4,52,XRP,XRP,xrp,1065,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52977697600.0,99988458761.0,False,,5,,,,2023-09-08T07:56:00.000Z,0.5035025964712709,712449674.8107346,-7.4198,0.09842627,0.63519774,0.02231318,-21.77609278,7.55376175,2.84954509,26674408296.66982,2.533,50350259647.13,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
5,3408,USD Coin,USDC,usd-coin,13979,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25997689308.72754,25997689308.72754,False,,6,,,,2023-09-08T07:56:00.000Z,0.9999956533483357,2755744358.948437,-0.9222,-0.00187305,-0.00585287,0.01332984,-0.0114107,-0.01314403,-0.01769069,25997576305.828037,2.4687,25997576305.83,,2023-09-08T07:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-08 07:57:44.385532
6,2010,Cardano,ADA,cardano,929,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35088044555.186,36152657252.524,False,,7,,,,2023-09-08T07:56:00.000Z,0.2581081361761877,112504042.49472429,0.713,0.09012964,0.52997114,0.75454772,-13.71722192,-8.762479,6.96896085,9056509782.206089,0.8599,11614866127.93,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
7,74,Dogecoin,DOGE,dogecoin,781,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140919246383.70523,140919246383.70523,True,,8,,,,2023-09-08T07:56:00.000Z,0.06366287189839433,157170362.3490125,-18.4888,0.14570793,0.42164704,0.14486302,-15.90802691,-1.28125452,5.86230771,8971323930.544094,0.8518,8971323930.54,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
8,5426,Solana,SOL,solana,505,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,409603400.92292243,556876787.453255,True,,9,,,,2023-09-08T07:56:00.000Z,19.885393370249716,240538516.6325376,-19.7143,-0.11728938,1.63546823,0.49835605,-19.14225418,-4.08271315,37.10392694,8145124753.144418,0.7734,11073713977.27,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
9,1958,TRON,TRX,tron,835,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89263495707.71738,89263511530.65321,True,,10,71659659264.0,5671388202.652463,,2023-09-08T07:56:00.000Z,0.07914338779868613,143551340.2806135,-29.51,-0.11846237,0.31557639,2.51869554,3.1264917,2.82835629,19.15948409,7064615457.062231,0.6708,7064616709.34,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
10,11419,Toncoin,TON,toncoin,137,2021-08-26T13:40:22.000Z,"['pos', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,6083554376.961007,,2023-09-08T07:56:00.000Z,1.7818563295270562,22745987.83686159,-9.7414,-0.42350291,-3.25552145,3.33764915,37.69191661,30.29431497,21.63151073,6115138638.579519,0.5806,8994024111.78,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
11,4943,Dai,DAI,multi-collateral-dai,2566,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-08T07:56:00.000Z,0.999614393968771,63453548.91641864,-34.3243,0.02644785,-0.00690548,0.05104084,-0.05371081,0.033956,0.04330363,5345826417.649548,0.5076,5345826417.65,,2023-09-08T07:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-08 07:57:44.385532
12,6636,Polkadot,DOT,polkadot-new,585,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1226946554.0615215,1353705891.3667014,True,,13,,,,2023-09-08T07:56:00.000Z,4.2918251370310925,94866881.30083388,7.1076,-0.06865721,0.85056577,0.81806334,-14.95954829,-15.01334231,-0.93796143,5265840062.514916,0.5,5809868972.71,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
13,3890,Polygon,MATIC,polygon,899,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-08T07:56:00.000Z,0.5463100701212781,228668847.15103033,2.2279,-0.02760509,-2.80923268,-0.17479959,-21.24588371,-19.45332014,-7.06295931,5091319800.734132,0.4834,5463100701.21,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
14,2,Litecoin,LTC,litecoin,997,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73629557.97743528,84000000.0,False,,15,,,,2023-09-08T07:56:00.000Z,63.36768676875176,215824132.1391881,-6.5902,0.11218615,0.32206575,-0.43031093,-24.63115399,-32.06504235,-18.06661393,4665734766.835766,0.443,5322885688.58,,2023-09-08T07:56:00.000Z,,,,,,2023-09-08 07:57:44.385532
